SUBSECTOR	GAUGE_ID	ALT_AHD
McGraths Hill	1105	18.640000
Emu Plains North	48	24.805900
McGraths Hill	1096	16.650000
South Creek B 11	2039	17.894900
South Creek B 13	1180	14.290000
Cranebrook	384	26.272900
South Creek B 12	2038	18.752800
Peach Tree Creek West	1512	24.230000
Ebenezer	1518	5.959000
Vineyard	1114	20.900000
Windsor Downs 12	2051	20.003100
Londonderry	1161	18.180000
Londonderry	1157	19.450000
Emu Heights	1509	20.631000
Penrith A	433	27.538200
Emu Heights	1222	26.100000
Vineyard North 1	1106	18.820000
Freemans Reach Lowlands	1041	19.342500
Vineyard	1122	20.430000
Mulgrave	1089	19.690000
Box Hill North	504	21.430300
Pitt Town Bottoms	105	10.719600
Vineyard North 2	1110	15.600000
Richmond A Central	281	19.090000
Agnes Banks	7	21.264900
South Windsor East	305	18.865300
Leonay North	787	28.053400
Peach Tree Creek West	1512	24.230000
North Richmond	227	17.795300
Leonay South	806	31.186200
Ebenezer	1519	12.100000
Richmond A Central	281	19.090000
Vineyard North 15	2052	20.954200
Eastern Creek A 7	1371	11.000000
Vineyard North 13	2031	20.128000
Pitt Town South	702	16.161100
Agnes Banks Lowlands East	1138	21.480000
Peach Tree Creek East	317	25.948700
Hobartville A	192	21.340000
Pitt Town North	717	16.778000
Vineyard	1114	20.900000
Mulgrave	1089	19.690000
Eastern Creek A 7	1384	12.090000
Penrith C2	438	29.230000
Vineyard North 9	1093	20.590000
Pitt Town Central	1074	17.299400
Eastern Creek A 7	922	19.431500
Eastern Creek A 6	923	19.278000
Eastern Creek A 5	927	20.423000
Singletons Mill	1520	8.533946
Eastern Creek A 4	921	18.895300
Eastern Creek A 3	2010	19.990800
McGraths Hill	1104	19.140000
Emu Heights	1449	23.600000
Eastern Creek A 2	2007	19.362800
Eastern Creek A 1	1389	13.846700
Emu Plains Central West	69	27.680000
Emu Plains East 1	2041	26.910200
Webbs Creek	558	2.413895
Londonderry	1157	19.450000
Agnes Banks Lowlands North	201	15.342900
Cornwallis	292	14.185800
Penrith C 1	431	28.451600
Peach Tree Creek West	837	26.790000
South Creek A2	1345	19.802400
South Maroota	1037	13.098993
Eastern Creek A 7	1384	12.090000
Mulgoa South	443	25.700000
South Creek A1	1327	20.692000
Penrith C2	438	29.230000
Wisemans Ferry East	563	3.207990
Hobartville A	192	21.340000
Agnes Banks South	985	20.316200
North Windsor	722	9.378900
Ebenezer	1519	12.100000
Ebenezer	1518	5.959000
Bligh Park Central	949	19.727900
Wisemans Ferry Centre	542	4.665338
Freemans Reach	246	17.152130
Vineyard North 2	1107	13.600000
North Penrith A	336	26.487500
Pitt Town South East B	1052	12.358800
Londonderry	1158	21.190000
Leets Vale North	571	11.820991
Jamisontown West	816	27.377200
McGraths Hill	1105	18.640000
Peach Tree Creek West	837	26.790000
Agnes Banks Lowlands East	1138	21.480000
Cattai (West) TBC	524	20.580700
Wallacia Central	1510	35.130000
East Kurrajong	163	12.915349
Vineyard North 2	1108	16.070000
